"","pais","any","avgTE","valor_taula","variacio_borsa","pais_divisa","variacio_divisa","iso2c","country","year","NY.GDP.MKTP.KD.ZG","EN.ATM.CO2E.PC","TM.VAL.MRCH.XD.WD","NY.GDP.DEFL.KD.ZG","TX.VAL.MRCH.XD.WD","NY.GDP.PCAP.KD.ZG"
"1","andorra","2001",NA,NA,NA,"europe",NA,"AD","andorra",2001,8.11935772169949,7.72154906153481,102.9750577,3.08053517916559,115.6460263,4.98225233757914
"2","andorra","2002",NA,NA,NA,"europe",NA,"AD","andorra",2002,4.54636221364653,7.56624029237094,118.5394088,3.23953176987777,140.6434568,0.510652936783501
"3","andorra","2003",85,NA,NA,"europe",NA,"AD","andorra",2003,8.69420371612468,7.24241596064499,149.5232861,3.17748421556476,198.8923194,4.04224626820309
"4","andorra","2004",90,NA,NA,"europe",0.0481743582989481,"AD","andorra",2004,8.13567633837351,7.34426229508197,174.0924556,3.04242399802695,271.811483,3.78188582874981
"5","andorra","2005",90,NA,NA,"europe",-0.0692219464860753,"AD","andorra",2005,5.39779598500422,7.35378022340277,178.0634929,3.39610212995052,314.8920506,1.89527131463494
"6","andorra","2006",90,NA,NA,"europe",0.0719919002012602,"AD","andorra",2006,4.80868869916921,6.79054262608803,176.6678856,3.45718408670396,364.8432198,2.06020231362646
"7","andorra","2007",90,"STOXX50E",NA,"europe",0.14144086173428,"AD","andorra",2007,1.55318814103222,6.53104666070003,190.3005277,3.21122734131436,332.78037,-0.518849647046451
"8","andorra","2008",85,"STOXX50E",-0.410203556449068,"europe",-0.135488458482761,"AD","andorra",2008,-5.55918636850581,6.43930360124016,191.7003071,2.27433831984322,306.8658343,-6.88581740186976
"9","andorra","2009",80,"STOXX50E",0.241329874574917,"europe",0.0798343162666845,"AD","andorra",2009,-5.30284654348291,6.15668770201632,159.1081852,0.132136132405464,221.6633517,-5.9766840451389
"10","andorra","2010",75,"STOXX50E",0.0636696520974519,"europe",-0.0219198180578716,"AD","andorra",2010,-1.97495799965345,6.1571980012788,152.2300213,0.374313758110119,203.6640571,-1.96683315898277
"11","andorra","2011",75,"STOXX50E",-0.18180001972847,"europe",-0.0319161320173641,"AD","andorra",2011,-0.00806975341139093,5.85088599130725,159.8572663,0.196764152031051,251.5444965,0.834867424241708
"12","andorra","2012",70,"STOXX50E",0.118477600666221,"europe",0.0326319658862505,"AD","andorra",2012,-4.97444371853503,5.94465405752969,140.097863,0.174556905779482,233.7345706,-3.45153545003302
"13","andorra","2013",70,"STOXX50E",0.115050789610362,"europe",-0.000705318410358302,"AD","andorra",2013,-3.54759651549344,5.94280054475672,146.9617935,0.448492200194735,218.3544885,-1.5688713381525
"14","andorra","2014",65,"STOXX50E",0.111972283761868,"europe",-0.167479055991067,"AD","andorra",2014,2.50446552114518,5.8071276179415,153.7658718,-0.0840193165570753,209.926574,4.51927941301172
"15","andorra","2015",57.5,"STOXX50E",-0.091408426942776,"europe",-0.0409329940928209,"AD","andorra",2015,1.43414039522716,6.02618183683151,127.8462948,0.660588959137868,197.4494233,3.02081678005885
"16","andorra","2016",55,"STOXX50E",0.0609472424909092,"europe",-0.0108369642829102,"AD","andorra",2016,3.70967806978986,6.08060029756129,133.8092861,0.347795381575793,213.7988177,4.64621154922207
"17","andorra","2017",60,"STOXX50E",0.11719208184316,"europe",0.158842574045696,"AD","andorra",2017,0.346071889630295,6.10413392729587,146.0822095,1.13650934319639,260.2428889,0.734439351000333
"18","andorra","2018",65,"STOXX50E",-0.124639500328059,"europe",-0.0742910511806614,"AD","andorra",2018,1.58876549046354,5.97340536048203,159.0373988,1.01247848005298,285.5744186,1.57425431733354
"19","andorra","2019",60,"STOXX50E",0.152394574452617,"europe",-0.0399141686942064,"AD","andorra",2019,2.01554763848308,NA,173.1415092,1.37475350829189,313.3716695,1.83306059347608
"20","andorra","2020",60,"STOXX50E",-0.0437994827815998,"europe",0.100630784114431,"AD","andorra",2020,-11.9560584192697,NA,NA,1.05752532730277,NA,-12.091659649427
"21","andorra","2021",60,NA,NA,"europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","china","2001",70,"000001.SS",-0.277855956047671,"china",NA,"CN","china",2001,8.3357334781433,2.77292919762551,108.2342328,2.04704945731334,106.7796134,7.55165483155264
"23","china","2002",70,"000001.SS",0.00546362741427776,"china",4.83296079259431e-05,"CN","china",2002,9.13363078993316,2.97432833489535,131.1726749,0.602099078003945,130.6549279,8.40487997514565
"24","china","2003",68.75,"000001.SS",0.0606168537962311,"china",-0.00122026362527028,"CN","china",2003,10.038030481108,3.42541136293077,183.4293231,2.60317771895693,175.8518156,9.35477664390774
"25","china","2004",65,"000001.SS",-0.250769304511908,"china",-3.61687714714338e-05,"CN","china",2004,10.1136213780461,3.95180062882163,249.4085075,6.9519926804569,238.0894291,9.4615587704991
"26","china","2005",72.5,"000001.SS",0.0555644782078622,"china",-0.0247385199614686,"CN","china",2005,11.3945918097286,4.46347375203265,293.2811611,3.90374426923287,305.75595,10.7413751264029
"27","china","2006",75,"000001.SS",1.21481163207781,"china",-0.0368643016621185,"CN","china",2006,12.7209556651735,4.90603499565224,351.7229273,3.92654939664587,388.8307926,12.0933046939024
"28","china","2007",77.5,"000001.SS",0.573175202319115,"china",-0.0762157428394808,"CN","china",2007,14.2308609330803,5.30259468770037,424.8951223,7.74968649314771,489.7437029,13.6358205006408
"29","china","2008",80,"000001.SS",-0.545863911352001,"china",-0.0478600306705702,"CN","china",2008,9.65067891955702,5.43161049480808,503.3094248,7.79534603682124,574.1074546,9.09028010153618
"30","china","2009",80,"000001.SS",0.501661018965044,"china",-0.00187416724014224,"CN","china",2009,9.39872563237978,5.79534426032481,447.0292058,-0.209533360982732,482.1819962,8.85594767555551
"31","china","2010",85,"000001.SS",-0.0664364339554287,"china",-0.0358520735231558,"CN","china",2010,10.6358710646812,6.33216591101925,620.4880368,6.88138025315708,633.1199865,10.1028326227139
"32","china","2011",85,"000001.SS",-0.178480323740192,"china",-0.0393914035755039,"CN","china",2011,9.55083217886229,6.90279214064116,774.7991325,8.07568446695551,761.7809577,9.02717442496261
"33","china","2012",85,"000001.SS",0.0404831208397006,"china",-0.0149043335022808,"CN","china",2012,7.86373644866194,7.05800347228649,808.0938033,2.33121757577324,822.1064754,7.33946899391793
"34","china","2013",85,"000001.SS",-0.147705141238359,"china",-0.0270922099847254,"CN","china",2013,7.766150097539,7.32048505208564,866.5697881,2.16337002683569,886.4279322,7.23540946971035
"35","china","2014",85,"000001.SS",0.579061466928555,"china",0.0313997686332837,"CN","china",2014,7.42576365645755,7.25291914357129,870.67735,1.03106368767851,939.9136447,6.88322917897656
"36","china","2015",85,"000001.SS",-0.147261519507708,"china",0.0586768146130428,"CN","china",2015,7.04132887865481,7.16911217747699,746.3941624,-0.00294409357314862,912.2955984,6.49879213348869
"37","china","2016",85,"000001.SS",0.153991051617796,"china",0.041393921360358,"CN","china",2016,6.84876220503246,7.11870541429571,705.6691731,1.4073460272495,841.7362552,6.27176269128802
"38","china","2017",80,"000001.SS",0.101820224189193,"china",-0.0813289345560771,"CN","china",2017,6.94720079327288,7.22576899079988,819.375711,4.23268197526643,908.2338495,6.35090474335061
"39","china","2018",80,"000001.SS",-0.257484626507541,"china",0.0623942035405229,"CN","china",2018,6.74977383247717,7.40521134749736,949.1200939,3.4997476356901,997.8591751,6.26420964040209
